
1.e4d5 (925 1005 10 1000 407 -16000) ,2.e6d5 (-1005 -925 9 2147483647 -718 -16000) ,3.a3e7 (925 1005 8 2147483647 614 -16000) ,4.f6f5 (-1005 -925 8 2147483647 -717 -16000) ,5.e7h4 (925 1005 7 2147483647 718 -16000) ,6.e5e4 (-1005 -925 6 2147483647 -706 -16000) ,7.d3e4 (925 1005 5 2147483647 702 -16000) ,8.f5e4 (-1005 -925 4 2147483647 -809 -16000) ,9.g7g4 (925 1005 4 2147483647 716 -16000) ,10.e4d3 (-1005 -925 4 2147483647 -789 -16000) ,11.h4g3 (925 1005 3 2147483647 800 -16000) ,12.d5d4 (-1005 -925 2 2147483647 -974 -16000) 
,,,,,,,,,,11.g7d7 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7e7 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7f7 (982 983 2 0 619 781) 
,,,,,,,,,,11.h4f6 (982 983 2 0 619 781) 
,,,,,,,,,,11.g7g8 (982 983 2 0 619 781) 
,,,,,,,,,,11.b1a1 (982 983 2 0 619 781) 
,,,,,,,,,,11.b1c1 (982 983 2 0 619 781) 
,,,,,,,,,,11.b1a2 (982 983 2 0 619 781) 
,,,,,,,,,,11.b1b2 (982 983 2 0 619 781) 
,,,,,,,,9.g7g5 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -690 -16000) 
,,,,,,,,9.g7g6 (982 1005 4 0 716 982) ,10.h7g6 (-983 -982 1 2147483625 -706 -16000) 
,,,,,,,,9.g7a7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -727 -16000) 
,,,,,,,,9.g7b7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -729 -16000) 
,,,,,,,,9.g7c7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -732 -16000) 
,,,,,,,,9.g7d7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -720 -16000) 
,,,,,,,,9.g7e7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 4 2147483647 -719 -16000) ,11.h4g3 (982 983 3 2147483647 729 -16000) ,12.d3d2 (-983 -982 2 2147483647 -895 -16000) 
,,,,,,,,,,11.e7h7 (982 983 3 2147483592 729 916) ,12.d3d2 (-983 -982 2 2147483597 -814 -16000) 
,,,,,,,,,,11.e7f7 (982 983 3 2147483541 729 916) 
,,,,,,,,,,11.e7e1 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7e2 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7e3 (982 983 3 0 729 916) ,12.d3d2 (-983 -982 2 2147483647 -712 -16000) 
,,,,,,,,,,11.e7e4 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7e5 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7e6 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7a7 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7b7 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7c7 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7d7 (982 983 3 0 729 916) 
,,,,,,,,,,11.h4f6 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7g7 (982 983 3 0 729 916) 
,,,,,,,,,,11.h4g5 (982 983 3 0 729 916) 
,,,,,,,,,,11.e7e8 (982 983 3 0 729 916) 
,,,,,,,,,,11.b1a1 (982 983 3 0 729 916) 
,,,,,,,,,,11.b1c1 (982 983 3 0 729 916) 
,,,,,,,,,,11.b1a2 (982 983 3 0 729 916) 
,,,,,,,,,,11.b1b2 (982 983 3 0 729 916) 
,,,,,,,,9.g7f7 (982 1005 4 0 716 982) ,10.e4d3 (-983 -982 1 2147483542 -726 -16000) 
,,,,,,,,9.d2d4 (982 1005 4 0 716 982) ,10.e4d4 (-983 -982 1 2147483597 -702 -16000) 
,,,,,,,,9.g7g8 (982 1005 4 0 716 982) ,10.d5d4 (-983 -982 1 2147483544 -714 -16000) 
,,,,,,,,9.b1a1 (982 1005 4 0 716 982) ,10.d5d4 (-983 -982 1 2147483543 -691 -16000) 
,,,,,,,,9.b1c1 (982 1005 4 0 716 982) ,10.d5d4 (-983 -982 1 2147483542 -722 -16000) 
,,,,,,,,9.b1a2 (982 1005 4 0 716 982) ,10.d5d4 (-983 -982 1 2147483543 -716 -16000) 
,,,,,,,,9.b1b2 (982 1005 4 0 716 982) ,10.d5d4 (-983 -982 1 2147483542 -730 -16000) 
,,,,,,,,9.b1c2 (982 1005 4 0 716 982) ,10.d5d4 (-983 -982 1 2147483543 -740 -16000) 
,,,,,,,8.d5e4 (-982 -925 4 2147483595 -809 -982) ,9.h4g3 (981 982 4 2147483647 719 -16000) ,10.e4e3 (-982 -981 3 2147483647 -881 -16000) ,11.d2e3 (981 982 2 2147483647 822 -16000) ,12.f5e6 (-982 -981 1 2147483542 -971 -16000) 
,,,,,,,,,,,12.f5e4 (-982 -981 1 0 -971 -1060) 
,,,,,,,,,,11.g7g4 (981 982 2 2147483592 822 973) 
,,,,,,,,,,11.g7h7 (981 982 2 2147483592 822 973) ,12.e3d2 (-982 -981 1 2147483595 -910 -16000) 
,,,,,,,,,,11.b1c2 (981 982 2 2147483541 822 973) 
,,,,,,,,,,11.g3f2 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3h2 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3f4 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3h4 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3e5 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3d6 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3c7 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3b8 (981 982 2 0 822 973) 
,,,,,,,,,,11.d2d4 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7g5 (981 982 2 0 822 973) ,12.f5g5 (-982 -981 1 2147483627 -803 -16000) 
,,,,,,,,,,11.g7g6 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7a7 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7b7 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7c7 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7d7 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7e7 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7f7 (981 982 2 0 822 973) ,12.f5e4 (-982 -981 1 2147483542 -833 -16000) 
,,,,,,,,,,11.d2d3 (981 982 2 0 822 973) 
,,,,,,,,,,11.g7g8 (981 982 2 0 822 973) 
,,,,,,,,,,11.b1a1 (981 982 2 0 822 973) 
,,,,,,,,,,11.b1c1 (981 982 2 0 822 973) 
,,,,,,,,,,11.b1a2 (981 982 2 0 822 973) 
,,,,,,,,,,11.b1b2 (981 982 2 0 822 973) 
,,,,,,,,,,11.g3e1 (981 982 2 0 822 973) 
,,,,,,,,9.g7g4 (981 982 4 2147483592 719 973) 
,,,,,,,,9.g7h7 (981 982 4 2147483592 719 973) ,10.e4e3 (-982 -981 3 2147483542 -809 -16000) ,11.d2e3 (981 982 2 2147483595 751 -16000) ,12.f5e4 (-982 -981 1 2147483544 -899 -16000) 
,,,,,,,,,,,12.f5e6 (-982 -981 1 2147483541 -899 -1059) 
,,,,,,,,,,,12.f5e5 (-982 -981 1 0 -899 -1059) 
,,,,,,,,,,,12.f5g6 (-982 -981 1 0 -899 -1057) 
,,,,,,,,,10.f5e6 (-982 -981 3 115 -809 -1057) ,11.h4g3 (981 982 2 2147483647 812 -16000) ,12.e4e3 (-982 -981 1 2147483544 -972 -16000) 
,,,,,,,,,,,12.e6d5 (-982 -981 1 2147483542 -972 -1061) 
,,,,,,,,,,11.b1c2 (981 982 2 2147483543 812 981) 
,,,,,,,,,,11.h7f7 (981 982 2 2147483541 812 981) 
,,,,,,,,,,11.h7e7 (981 982 2 9 812 981) ,12.e6d5 (-982 -981 1 2147483647 -817 -16000) 
,,,,,,,,,,11.h7g7 (981 982 2 1 812 981) 
,,,,,,,,,,11.h4e7 (981 982 2 0 812 981) 
,,,,,,,,,,11.h4d8 (981 982 2 0 812 981) 
,,,,,,,,,,11.h7a7 (981 982 2 0 812 981) 
,,,,,,,,,,11.h7b7 (981 982 2 0 812 981) 
,,,,,,,,,,11.h7c7 (981 982 2 0 812 981) 
,,,,,,,,,,11.h7d7 (981 982 2 0 812 981) 
,,,,,,,,,,11.h4g5 (981 982 2 0 812 981) 
,,,,,,,,,,11.d2d3 (981 982 2 0 812 981) 
,,,,,,,,,,11.h4f6 (981 982 2 0 812 981) 
,,,,,,,,,,11.h7h8 (981 982 2 0 812 981) 
,,,,,,,,,,11.b1a1 (981 982 2 0 812 981) 
,,,,,,,,,,11.b1c1 (981 982 2 0 812 981) 
,,,,,,,,,,11.b1a2 (981 982 2 0 812 981) 
,,,,,,,,,,11.b1b2 (981 982 2 0 812 981) 
,,,,,,,,,,11.d2d4 (981 982 2 0 812 981) 
,,,,,,,,9.d2d4 (981 982 4 9 719 981) 
,,,,,,,,9.d2d3 (981 982 4 4 719 981) 
,,,,,,,,9.h4e7 (981 982 4 0 719 981) 
,,,,,,,,9.h4d8 (981 982 4 0 719 981) 
,,,,,,,,9.h4g5 (981 982 4 0 719 981) 
,,,,,,,,9.g7g5 (981 982 4 0 719 981) ,10.f5f4 (-982 -981 2 2147483543 -692 -16000) ,11.h4g3 (981 982 1 2147483594 688 -16000) 
,,,,,,,,,,11.g5g4 (981 982 1 2147483592 688 355) 
,,,,,,,,,,11.d2d3 (981 982 1 0 688 355) 
,,,,,,,,,,11.d2d4 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5a5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5b5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5c5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5d5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5e5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5f5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5h5 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5g6 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5g7 (981 982 1 0 688 355) 
,,,,,,,,,,11.g5g8 (981 982 1 0 688 355) 
,,,,,,,,,,11.b1a1 (981 982 1 0 688 355) 
,,,,,,,,,,11.b1c1 (981 982 1 0 688 355) 
,,,,,,,,,,11.b1a2 (981 982 1 0 688 355) 
,,,,,,,,,,11.b1b2 (981 982 1 0 688 355) 
,,,,,,,,,,11.b1c2 (981 982 1 0 688 355) 
,,,,,,,,9.g7g6 (981 982 4 0 719 981) 
,,,,,,,,9.g7a7 (981 982 4 0 719 981) 
,,,,,,,,9.g7b7 (981 982 4 0 719 981) 
,,,,,,,,9.g7c7 (981 982 4 0 719 981) 
,,,,,,,,9.g7d7 (981 982 4 0 719 981) 
,,,,,,,,9.g7e7 (981 982 4 0 719 981) 
,,,,,,,,9.g7f7 (981 982 4 0 719 981) ,10.f5e6 (-982 -981 2 2147483541 -730 -16000) ,11.h4g3 (981 982 1 2147483594 732 -16000) 
,,,,,,,,,,11.f7h7 (981 982 1 2147483592 732 894) 
,,,,,,,,,,11.b1c2 (981 982 1 2147483543 732 894) 
,,,,,,,,,,11.f7e7 (981 982 1 9 732 894) 
,,,,,,,,,,11.f7g7 (981 982 1 1 732 894) 
,,,,,,,,,,11.h4e7 (981 982 1 0 732 894) 
,,,,,,,,,,11.h4d8 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f1 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f2 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f3 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f4 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f5 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f6 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7a7 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7b7 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7c7 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7d7 (981 982 1 0 732 894) 
,,,,,,,,,,11.h4g5 (981 982 1 0 732 894) 
,,,,,,,,,,11.h4f6 (981 982 1 0 732 894) 
,,,,,,,,,,11.d2d4 (981 982 1 0 732 894) 
,,,,,,,,,,11.f7f8 (981 982 1 0 732 894) 
,,,,,,,,,,11.b1a1 (981 982 1 0 732 894) 
,,,,,,,,,,11.b1c1 (981 982 1 0 732 894) 
,,,,,,,,,,11.b1a2 (981 982 1 0 732 894) 
,,,,,,,,,,11.b1b2 (981 982 1 0 732 894) 
,,,,,,,,,,11.d2d3 (981 982 1 0 732 894) 
,,,,,,,,9.h4f6 (981 982 4 0 719 981) 
,,,,,,,,9.g7g8 (981 982 4 0 719 981) 
,,,,,,,,9.b1a1 (981 982 4 0 719 981) 
,,,,,,,,9.b1c1 (981 982 4 0 719 981) 
,,,,,,,,9.b1a2 (981 982 4 0 719 981) 
,,,,,,,,9.b1b2 (981 982 4 0 719 981) 
,,,,,,,,9.b1c2 (981 982 4 0 719 981) 
,,,,,,,,9.h4g3 (925 982 4 2147483647 719 -16000) ,10.e4e3 (-982 -925 3 2147483647 -881 -16000) ,11.d2e3 (925 982 2 2147483647 822 -16000) ,12.f5e4 (-982 -925 1 2147483647 -971 -16000) 
,,,,,,,,,,,12.f5e6 (-973 -925 1 2147483541 -971 -973) 
,,,,,,,,,,,12.f5f6 (-973 -925 1 0 -971 -973) 
,,,,,,,,,,11.g7g4 (973 982 2 2147483592 822 973) ,12.f5g4 (-974 -973 1 2147483627 -909 -16000) 
,,,,,,,,,,11.g7h7 (973 982 2 2147483592 822 973) ,12.TTLower (-974 -973 1 -752 -910 -16000) 
,,,,,,,,,,11.b1c2 (973 982 2 2147483541 822 973) 
,,,,,,,,,,11.g3f2 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3h2 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3f4 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3h4 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3e5 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3d6 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3c7 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3b8 (973 982 2 0 822 973) 
,,,,,,,,,,11.d2d4 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7g5 (973 982 2 0 822 973) ,12.TTLower (-974 -973 1 -296 -803 -16000) 
,,,,,,,,,,11.g7g6 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7a7 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7b7 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7c7 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7d7 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7e7 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7f7 (973 982 2 0 822 973) ,12.f5e4 (-974 -973 2 2147483647 -833 -16000) 
,,,,,,,,,,11.d2d3 (973 982 2 0 822 973) 
,,,,,,,,,,11.g7g8 (973 982 2 0 822 973) 
,,,,,,,,,,11.b1a1 (973 982 2 0 822 973) 
,,,,,,,,,,11.b1c1 (973 982 2 0 822 973) 
,,,,,,,,,,11.b1a2 (973 982 2 0 822 973) 
,,,,,,,,,,11.b1b2 (973 982 2 0 822 973) 
,,,,,,,,,,11.g3e1 (973 982 2 0 822 973) 
