
,,,,,,,,,,,12.d5d4 (-1020 -1019 5 0 -830 -1057) 
,,,,,,,,,10.d5d4 (-1020 -1019 7 2147483544 -806 -1057) ,11.h4g3 (1019 1020 6 2147483647 797 -16000) ,12.e4d5 (-1020 -1019 5 2147483647 -957 -16000) 
,,,,,,,,,,,12.d4d3 (-1020 -1019 5 2147483544 -957 -1047) 
,,,,,,,,,,,12.e4d3 (-1020 -1019 5 328 -957 -1046) 
,,,,,,,,,,,12.e4f5 (-1020 -1019 5 179 -957 -1046) 
,,,,,,,,,10.e4f5 (-1020 -1019 7 344 -806 -1046) ,11.h4g3 (1019 1020 3 2147483594 814 -16000) ,12.f5g6 (-1020 -1019 2 2147483542 -974 -16000) 
,,,,,,,,,,11.h7f7 (1019 1020 3 2147483546 814 1000) ,12.f5g6 (-1020 -1019 3 2147483542 -828 -16000) 
,,,,,,,,,,,12.f5e6 (-1020 -1019 3 7111 -828 -1078) 
,,,,,,,,,,11.h7g7 (1019 1020 3 2147483537 814 1000) 
,,,,,,,,,,11.h4g5 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h4f6 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h4e7 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h4d8 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h7a7 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h7b7 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h7c7 (1019 1020 3 0 814 1000) 
,,,,,,,,,,11.h7d7 (1019 1020 3 0 814 1000) 
